iter	Passed	Remaining
0	0	717
1	1	649
2	1	648
3	2	640
4	3	676
5	4	779
6	5	778
7	6	754
8	6	736
9	7	728
10	7	712
11	8	705
12	9	691
13	10	711
14	10	705
15	11	692
16	11	687
17	12	689
18	13	686
19	13	685
20	14	676
21	15	672
22	15	675
23	17	695
24	17	695
25	18	689
26	19	686
27	19	683
28	20	681
29	20	678
30	21	673
31	22	680
32	23	680
33	23	677
34	24	673
35	25	669
36	25	665
37	26	664
38	27	680
39	29	709
40	30	707
41	30	704
42	31	703
43	32	702
44	32	699
45	33	695
46	34	691
47	34	687
48	35	694
49	36	694
50	37	693
51	37	692
52	38	690
53	39	689
54	39	686
55	40	685
56	41	688
57	42	687
58	42	683
59	43	679
60	43	675
61	44	672
62	45	670
63	45	667
64	46	664
65	46	660
66	47	657
67	48	660
68	49	662
69	49	661
70	50	660
71	51	657
72	51	655
73	52	652
74	52	650
75	53	648
76	54	651
77	55	652
78	55	652
79	56	650
80	57	648
81	57	647
82	58	641
83	58	640
84	59	638
85	60	638
86	60	639
87	61	640
88	62	638
89	62	636
90	63	634
91	64	633
92	64	632
93	65	630
94	66	630
95	66	630
96	67	631
97	68	630
98	69	628
99	69	627
100	70	625
101	70	623
102	71	622
103	72	620
104	73	624
105	74	624
106	74	623
107	75	623
108	75	621
109	76	619
110	77	617
111	77	616
112	78	615
113	79	615
114	79	613
115	80	613
116	81	612
117	81	611
118	82	611
119	83	609
120	83	607
121	84	605
122	85	609
123	86	609
124	87	609
125	87	608
126	88	606
127	88	604
128	89	603
129	89	602
130	90	601
131	91	600
132	92	600
133	92	600
134	93	599
135	94	597
136	94	596
137	95	596
138	96	595
139	96	594
140	97	593
141	98	592
142	98	592
143	99	591
144	100	590
145	100	589
146	101	588
147	101	587
148	102	585
149	103	584
150	104	587
151	105	586
152	105	585
153	106	584
154	106	582
155	107	580
156	108	580
157	108	579
158	109	577
159	109	577
160	110	574
161	111	574
162	111	573
163	112	572
164	112	571
165	113	570
166	114	569
167	114	568
168	115	567
169	116	567
170	117	567
171	117	567
172	118	566
173	119	565
174	119	563
175	120	562
176	120	562
177	121	562
178	122	562
179	123	564
180	124	563
181	125	562
182	125	561
183	126	560
184	126	558
185	127	557
186	127	556
187	128	556
188	129	555
189	130	554
190	130	553
191	131	552
192	132	551
193	132	550
194	133	549
195	133	548
196	134	547
197	135	550
198	136	549
199	137	548
200	137	547
201	138	546
202	138	544
203	139	543
204	139	542
205	140	541
206	141	541
207	142	540
208	142	540
209	143	538
210	143	537
211	144	536
